sex,height_cm,weight_kg,arm_span_cm,climbing_years,climbing_frequency,training_hours,hangboard_frequency,campus_frequency,endurance_frequency,general_strength_frequency,max_pull_ups,trains_full_crimp,trains_half_crimp,trains_open_crimp,trains_front_3,trains_back_3,trains_front_2,trains_middle_2,trains_back_2,trains_slopers,trains_pinch,trains_monos,trains_repeaters,trains_max_weight,trains_min_edge,trains_one_arm_hang,trains_no_hangs,trains_other_protocol,trains_laps_of_routes,trains_4x4,trains_arc,trains_systems_boards,trains_max_moves,trains_route_climbing_intervals,trains_threshold_intervals,trains_antagonists,trains_legs,trains_core,trains_upper_body_pulling,trains_upper_body_pushing,climbs_indoors,climbs_outdoors,boulders,route_climbs,cardio,yoga,climbing_session_length,general_strength_session_length,campus_session_length,max_boulder_grade
True,185.4,82.0,186.0,4.25,3,2,2,0,1,1,,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,1.3333333333333333,1.0,0.0,7
False,165.1,53.0,165.1,3.75,5,3,1,0,0,3,5,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,2.0,0.6666666666666666,0.0,3
False,157.0,47.0,155.0,8.25,4,6,0,3,1,2,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,1.5,0.5,1.3333333333333333,
True,180.0,79.5,185.0,0.25,3,3,0,0,2,2,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,2.0,1.0,0.0,4
True,186.0,73.0,190.0,2.25,2,1,0,0,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,3.0,1.0,0.0,5
True,183.0,100.0,185.0,2.25,2,0,0,0,0,2,12,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,2.0,1.0,0.0,6
True,167.0,60.0,179.0,3.75,3,3,3,0,0,2,13,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,2.0,1.0,0.0,9
True,173.0,86.0,173.0,1.75,3,4,2,2,2,4,32,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,1.3333333333333333,2.0,1.0,6
True,182.0,72.0,182.0,15.25,3,2,3,1,1,2,25,False,False,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,1.3333333333333333,0.5,1.0,11
True,170.0,64.0,165.0,0.75,1,3,0,0,0,0,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,3.0,0.0,0.0,6
